"LeadH","InstH","CorrH","Scopus","WoS","FWCit","AbsViews","Mendelay","JIFPerc","Impact1","Impact5","Altmetric","SocMedia"
16,999,14,14,34,1.13,359,15,92.361,2.864,3.688,0,0
9,450,23,35,33,1.13,539,23,92.361,2.864,3.688,0,0
3,450,7,45,44,2,505,47,92.361,2.864,3.688,0,0
3,39,35,85,17,2.74,1271,341,92.361,2.864,3.688,37,16
5,350,5,29,27,1.5,311,42,92.361,2.864,3.688,0,0
7,350,10,36,31,1.16,816,68,92.361,2.864,3.688,6,5
8,92,25,17,14,1.33,868,53,92.361,2.864,3.688,0,0
7,175,7,6,3,0.33,695,26,92.361,2.864,3.688,0,0
1,33,19,50,50,2.49,198,28,92.361,2.864,3.688,0,0
1,41,14,13,13,0.97,194,32,92.361,2.864,3.688,0,0
16,225,16,101,102,5.01,524,126,92.361,2.864,3.688,0,0
2,999,2,5,4,0.48,413,17,92.361,2.864,3.688,0,0
7,450,7,89,81,6.49,752,88,92.361,2.864,3.688,1,1
15,999,15,53,53,2.83,448,70,92.361,2.864,3.688,1,1
8,450,13,78,71,5.99,4619,199,92.361,2.864,3.688,17,19
10,20,10,12,16,0.67,663,65,92.361,2.864,3.688,5,10
12,999,15,16,14,0.67,749,52,92.361,2.864,3.688,0,0
4,999,4,44,42,1.66,2250,78,92.361,2.864,3.688,21,25
12,999,12,31,31,1.16,515,23,92.361,2.864,3.688,0,0
10,350,10,37,36,2.26,229,62,92.361,2.864,3.688,0,0
5,999,5,32,26,1.66,725,51,92.361,2.864,3.688,0,0
14,125,14,47,39,2.42,357,52,92.361,2.864,3.688,0,0
8,175,8,61,60,2.66,163,43,92.361,2.864,3.688,0,0
1,175,9,13,9,0.83,677,36,92.361,2.864,3.688,0,0
8,999,8,116,119,3.66,1014,92,92.361,2.864,3.688,49,8
20,250,23,25,26,1.66,482,1,92.361,2.864,3.688,0,0
11,999,11,29,30,1.5,250,19,92.361,2.864,3.688,0,0
19,250,19,436,411,10.98,5252,5,92.361,2.864,3.688,131,67
1,39,3,6,6,0.5,385,49,92.361,2.864,3.688,3,0
14,999,14,28,27,1.13,497,74,92.361,2.864,3.688,1,1
28,450,28,14,11,0.67,429,0,92.361,2.864,3.688,0,0
3,87,5,27,23,1.61,1062,9,92.361,2.864,3.688,0,0
1,999,1,185,172,4.16,1000,200,92.361,2.864,3.688,6,3
13,250,13,123,109,4.99,960,17,92.361,2.864,3.688,1,1
3,53,3,17,15,1.66,640,22,92.361,2.864,3.688,0,0
20,26,20,44,43,1.5,290,50,92.361,2.864,3.688,0,0
10,250,10,6,3,0,225,18,92.361,2.864,3.688,0,0
19,999,19,29,26,1.16,529,25,92.361,2.864,3.688,2,2
22,350,26,67,66,2.99,582,62,92.361,2.864,3.688,0,0
6,175,14,23,19,0.67,2175,45,92.361,2.864,3.688,0,0
7,999,9,106,99,4.66,437,71,92.361,2.864,3.688,0,0
9,43,9,68,61,1.83,1493,70,92.361,2.864,3.688,0,0
1,37,18,21,19,1.45,1279,25,92.361,2.864,3.688,0,0
3,45,3,47,44,3.49,861,15,92.361,2.864,3.688,0,0
13,36,27,26,24,1.5,1060,59,92.361,2.864,3.688,0,0
12,999,12,15,13,0.97,381,12,92.361,2.864,3.688,0,0
6,350,1,27,27,1.66,392,46,92.361,2.864,3.688,0,0
18,450,18,27,23,2.33,629,26,92.361,2.864,3.688,0,0
9,43,9,32,25,0.81,41,43,92.361,2.864,3.688,3,0
1,74,1,12,10,0.48,248,17,92.361,2.864,3.688,0,0
9,999,12,22,25,1.83,419,20,92.361,2.864,3.688,4,1
21,175,21,13,10,0.83,264,10,92.361,2.864,3.688,0,0
1,999,1,42,34,1.16,1316,82,92.361,2.864,3.688,1,0
8,250,17,9,9,0.17,855,27,92.361,2.864,3.688,0,0
12,250,29,13,12,1.16,961,12,92.361,2.864,3.688,0,0
15,250,15,24,23,1.5,497,16,92.361,2.864,3.688,3,0
5,11,12,9,8,0.33,1173,26,92.361,2.864,3.688,0,0
16,58,4,11,10,0.67,417,2,92.361,2.864,3.688,0,0
9,51,9,23,21,0.67,726,16,92.361,2.864,3.688,0,0
8,250,8,48,49,1.16,1039,127,92.361,2.864,3.688,17,20
12,250,12,152,139,5.32,1005,28,92.361,2.864,3.688,1,2
12,999,12,17,16,0.67,1501,23,92.361,2.864,3.688,0,0
4,34,4,3,1,0.17,932,16,92.361,2.864,3.688,0,0
12,999,15,42,34,4.32,1409,18,92.361,2.864,3.688,0,0
4,46,4,18,16,0.83,1043,4,92.361,2.864,3.688,0,0
10,999,10,34,33,1.83,1021,15,92.361,2.864,3.688,0,0
6,26,7,2,2,0.33,505,3,92.361,2.864,3.688,0,0
2,999,40,22,22,0.65,311,24,92.361,2.864,3.688,0,0
8,450,14,33,29,1.66,5137,1,92.361,2.864,3.688,16,9
11,350,11,75,71,3.16,2153,90,92.361,2.864,3.688,5,0
8,250,13,20,21,0.83,445,20,92.361,2.864,3.688,0,0
39,999,37,66,63,2.49,1526,77,92.361,2.864,3.688,1,1
29,250,29,63,53,2.33,956,91,92.361,2.864,3.688,2,4
28,125,28,50,44,2.58,2450,24,92.361,2.864,3.688,0,0
4,250,29,30,30,1.33,541,15,92.361,2.864,3.688,0,0
20,999,20,21,20,1,1055,60,92.361,2.864,3.688,0,0
4,350,4,37,31,2,630,29,92.361,2.864,3.688,1,1
3,125,12,21,20,0.75,1188,21,92.361,2.864,3.688,0,0
7,350,7,10,8,0.48,1030,20,92.361,2.864,3.688,0,0
2,350,11,13,10,0.67,1400,38,92.361,2.864,3.688,0,0
21,4,21,65,64,1.78,500,15,92.361,2.864,3.688,0,0
2,43,16,31,30,1.5,927,18,92.361,2.864,3.688,0,0
25,53,25,20,18,1.66,506,28,92.361,2.864,3.688,0,0
16,999,16,27,21,1.37,1001,41,95.07,3.399,4.078,13,19
10,175,10,9,9,0.52,603,7,95.07,3.399,4.078,0,0
6,350,6,41,37,2.75,2825,69,95.07,3.399,4.078,4,1
12,999,15,13,10,0.34,1016,31,95.07,3.399,4.078,0,0
10,125,17,22,18,2.23,802,38,95.07,3.399,4.078,0,0
1,125,1,49,50,3.61,998,40,95.07,3.399,4.078,0,0
18,999,25,5,3,0.34,788,1,95.07,3.399,4.078,0,0
6,20,6,82,79,5.33,1146,139,95.07,3.399,4.078,3,5
18,175,37,19,16,2.23,433,15,95.07,3.399,4.078,0,0
6,92,26,127,102,8.25,1821,172,95.07,3.399,4.078,46,30
12,999,12,32,26,1.89,2044,40,95.07,3.399,4.078,0,0
8,125,26,81,78,4.47,1675,97,95.07,3.399,4.078,30,46
7,999,25,32,26,1.03,1225,32,95.07,3.399,4.078,4,5
18,175,29,21,20,1.2,947,16,95.07,3.399,4.078,0,0
14,999,14,81,78,3.95,782,95,95.07,3.399,4.078,0,0
3,999,3,36,35,1.72,692,78,95.07,3.399,4.078,4,3
11,350,11,55,50,2.41,1027,76,95.07,3.399,4.078,0,0
2,53,12,20,14,0.17,3016,38,95.07,3.399,4.078,2,3
1,53,19,47,41,3.44,707,60,95.07,3.399,4.078,6,10
15,250,16,9,9,0.52,592,13,95.07,3.399,4.078,0,0
30,450,35,89,77,6.19,707,55,95.07,3.399,4.078,0,0
1,31,19,48,6,2.75,630,45,95.07,3.399,4.078,0,0
8,175,8,27,19,2.21,1037,16,95.07,3.399,4.078,0,0
8,350,10,15,15,0.85,369,21,95.07,3.399,4.078,0,0
8,999,8,27,27,1.36,514,34,95.07,3.399,4.078,0,0
1,999,12,38,38,2.39,671,67,95.07,3.399,4.078,0,0
3,999,3,12,12,0.51,3001,15,95.07,3.399,4.078,0,0
16,250,30,90,81,4.6,2176,67,95.07,3.399,4.078,35,6
5,999,5,35,33,1.7,967,53,95.07,3.399,4.078,4,1
11,350,11,7,8,0.51,1095,35,95.07,3.399,4.078,6,9
12,999,12,26,23,2.21,1277,37,95.07,3.399,4.078,0,0
9,250,11,6,5,0.68,479,12,95.07,3.399,4.078,0,0
6,999,6,22,17,1.19,1526,3,95.07,3.399,4.078,0,0
6,33,6,14,14,1.19,478,0,95.07,3.399,4.078,0,0
22,350,37,26,25,1.7,1033,40,95.07,3.399,4.078,0,0
13,999,13,24,24,0.85,528,24,95.07,3.399,4.078,0,0
3,125,13,1,1,0,802,4,95.07,3.399,4.078,0,0
20,999,20,29,29,2.04,812,29,95.07,3.399,4.078,0,0
2,99,14,51,46,1.53,852,17,95.07,3.399,4.078,0,0
7,999,7,20,14,2.21,461,21,95.07,3.399,4.078,0,0
19,250,44,7,7,0,322,19,95.07,3.399,4.078,0,0
10,999,34,12,10,0.68,1143,4,95.07,3.399,4.078,0,0
9,350,9,28,21,0.85,1212,45,95.07,3.399,4.078,1,1
11,999,11,56,49,3.07,2985,124,95.07,3.399,4.078,11,1
14,250,30,3,4,0,532,9,95.07,3.399,4.078,0,0
7,175,7,13,14,0.51,760,20,95.07,3.399,4.078,0,0
10,250,16,19,19,1.87,453,13,95.07,3.399,4.078,0,0
5,125,21,21,23,1.02,699,17,95.07,3.399,4.078,0,0
23,999,23,16,15,0.51,1264,28,95.07,3.399,4.078,0,0
23,999,23,18,14,1.02,729,32,95.07,3.399,4.078,0,0
10,250,15,17,16,0.85,519,15,95.07,3.399,4.078,1,1
14,450,5,8,8,0.34,1214,3,95.07,3.399,4.078,0,0
7,175,12,12,12,0.34,1038,16,95.07,3.399,4.078,0,0
30,175,30,32,30,0.85,1235,30,95.07,3.399,4.078,3,0
9,999,18,89,81,5.11,2009,104,95.07,3.399,4.078,2,2
16,999,16,62,56,2.71,2732,73,95.07,3.399,4.078,0,0
16,125,26,14,9,0.85,978,36,95.07,3.399,4.078,1,1
9,53,19,109,101,3.24,818,39,95.07,3.399,4.078,13,3
18,450,16,43,38,2.73,1897,24,95.07,3.399,4.078,0,0
31,999,31,24,23,1.19,1917,48,95.07,3.399,4.078,0,0
9,125,26,18,17,1.02,1493,52,95.07,3.399,4.078,5,4
2,175,2,13,9,0.34,1766,19,95.07,3.399,4.078,0,0
4,175,36,19,20,1.02,714,27,95.07,3.399,4.078,0,0
11,350,35,37,36,1.36,1766,3,95.07,3.399,4.078,0,0
13,999,13,26,23,0.85,1686,35,95.07,3.399,4.078,0,0
12,250,15,8,8,0.17,1002,32,95.07,3.399,4.078,0,0
16,250,16,42,40,1.53,1806,38,95.07,3.399,4.078,1,1
19,450,19,18,18,0.68,2766,29,95.07,3.399,4.078,0,0
10,125,26,35,32,1.87,3597,79,95.07,3.399,4.078,12,1
10,500,10,23,21,1.36,877,32,95.07,3.399,4.078,0,0
7,450,7,58,56,3.92,2775,57,95.07,3.399,4.078,18,2
12,175,21,34,33,2.73,1247,42,95.07,3.399,4.078,0,0
16,125,16,89,76,4.89,320,60,96.85,3.97,3.824,3,0
2,80,18,29,25,1.83,218,54,96.85,3.97,3.824,0,0
8,450,23,96,89,3.88,573,108,96.85,3.97,3.824,7,8
4,125,16,24,20,1.8,178,26,96.85,3.97,3.824,0,0
5,1,30,58,57,1.49,486,54,96.85,3.97,3.824,0,0
6,125,6,48,33,1.18,1178,10,96.85,3.97,3.824,9,1
19,18,19,51,48,1.01,1933,58,96.85,3.97,3.824,1,1
6,999,6,33,27,1.49,271,35,96.85,3.97,3.824,0,0
34,999,34,284,224,12.94,164,143,96.85,3.97,3.824,10,17
34,999,34,111,90,8.3,363,56,96.85,3.97,3.824,0,0
33,450,33,127,109,6.58,419,74,96.85,3.97,3.824,0,0
9,999,9,12,9,0.66,1563,56,96.85,3.97,3.824,0,0
20,999,20,390,358,11.29,2147,500,96.8499999999999,3.97,3.824,38,54
6,999,6,48,38,1.01,298,34,96.8499999999999,3.97,3.824,0,0
37,68,43,15,10,1.35,957,68,96.8499999999999,3.97,3.824,0,0
2,999,25,13,15,0.84,505,27,96.8499999999999,3.97,3.824,0,0
7,450,28,67,52,3.71,862,123,96.8499999999999,3.97,3.824,2,3
7,1,7,82,56,5.84,79,94,96.8499999999999,3.97,3.824,0,0
3,999,3,53,50,0.97,2233,77,96.8499999999999,3.97,3.824,0,0
13,999,13,23,19,1.16,795,29,96.8499999999998,3.97,3.824,0,0
35,21,35,74,61,3.32,697,45,96.8499999999998,3.97,3.824,0,0
16,999,16,67,61,1.49,1348,96,96.8499999999998,3.97,3.824,0,0
22,26,22,45,33,1.69,1458,81,96.8499999999998,3.97,3.824,2,3
9,56,9,36,21,1.35,1300,56,96.8499999999998,3.97,3.824,1,1
20,999,20,78,61,5.06,678,39,96.8499999999998,3.97,3.824,3,0
8,999,8,111,110,6.07,1197,86,96.8499999999997,3.97,3.824,0,0
17,999,12,60,55,3.15,1409,85,96.8499999999997,3.97,3.824,0,0
1,28,25,75,58,2.32,1153,58,96.8499999999997,3.97,3.824,0,0
1,999,34,5,3,0.5,551,32,96.8499999999997,3.97,3.824,0,0
29,250,16,29,24,1.83,252,10,96.8499999999997,3.97,3.824,0,0
7,350,33,177,142,4.55,567,110,96.8499999999997,3.97,3.824,0,0
24,1,51,62,55,1.49,1633,67,96.8499999999997,3.97,3.824,7,0
22,999,22,34,27,2.36,1172,52,96.8499999999997,3.97,3.824,0,0
17,999,17,75,69,3.82,1950,290,96.8499999999996,3.97,3.824,38,54
5,999,5,17,20,0.84,2813,109,96.8499999999996,3.97,3.824,4,6
5,999,5,20,20,0.17,733,45,96.8499999999996,3.97,3.824,0,0
6,350,6,12,11,0.5,730,33,96.8499999999996,3.97,3.824,0,0
15,175,15,45,34,2.19,482,4,96.8499999999996,3.97,3.824,0,0
7,91,32,97,84,2.87,1241,51,96.8499999999996,3.97,3.824,0,0
26,29,17,25,23,1,1119,12,96.8499999999996,3.97,3.824,2,0
1,90,1,69,18,2.87,568,63,96.8499999999995,3.97,3.824,0,0
12,175,12,49,41,1.49,978,44,96.8499999999995,3.97,3.824,0,0
9,250,9,54,43,1.99,764,9,96.8499999999995,3.97,3.824,0,0
25,250,25,22,22,1.18,483,36,96.8499999999995,3.97,3.824,0,0
22,450,22,119,97,3.82,445,51,96.8499999999995,3.97,3.824,0,0
44,125,44,42,36,2.33,598,52,96.8499999999995,3.97,3.824,0,0
36,12,36,43,34,2.87,733,40,96.8499999999995,3.97,3.824,0,0
1,125,1,86,16,4.55,1941,24,96.8499999999994,3.97,3.824,1,1
8,999,8,16,10,0.33,1622,66,96.8499999999994,3.97,3.824,0,0
22,999,22,57,48,3.15,357,47,96.8499999999994,3.97,3.824,0,0
11,68,11,70,49,1.01,2208,65,96.8499999999994,3.97,3.824,0,0
11,999,11,151,135,8.43,575,2,96.8499999999994,3.97,3.824,0,0
18,24,18,76,68,3.21,1127,121,96.8499999999994,3.97,3.824,2,3
12,999,30,139,116,5.48,922,56,96.8499999999994,3.97,3.824,0,0
44,125,44,12,10,0.34,1455,34,96.8499999999994,3.97,3.824,0,0
10,999,10,35,26,1.66,1806,48,96.8499999999993,3.97,3.824,0,0
10,250,10,35,30,1.35,1221,60,96.8499999999993,3.97,3.824,1,1
33,999,33,22,18,1.33,873,41,96.8499999999993,3.97,3.824,1,1
1,175,1,35,29,2.02,2756,62,96.8499999999993,3.97,3.824,0,0
2,999,2,92,81,3.98,1642,111,96.8499999999993,3.97,3.824,0,0
23,999,23,39,39,1.18,1992,104,96.8499999999993,3.97,3.824,1,1
24,999,50,91,71,3.37,820,69,96.8499999999993,3.97,3.824,0,0
3,999,3,78,72,3.71,1075,85,96.8499999999992,3.97,3.824,0,0
19,125,19,60,53,1.86,1002,188,96.8499999999992,3.97,3.824,10,0
50,125,19,38,22,1.33,946,37,96.8499999999992,3.97,3.824,0,0
59,999,17,19,17,1,1132,65,96.8499999999992,3.97,3.824,0,0
2,125,2,17,13,0.66,930,29,96.8499999999992,3.97,3.824,0,0
7,34,45,53,38,2.32,509,27,96.8499999999992,3.97,3.824,0,0
5,999,5,34,28,1.33,2304,104,96.8499999999992,3.97,3.824,1,2
1,125,20,76,64,1.52,2216,173,96.8499999999992,3.97,3.824,1,1
43,125,36,79,65,1.69,356,44,96.8499999999991,3.97,3.824,0,0
5,68,33,128,103,8.02,401,37,96.8499999999991,3.97,3.824,0,0
3,999,3,137,110,8.63,765,12,96.8499999999991,3.97,3.824,3,0
13,999,29,98,88,3.54,3856,112,96.8499999999991,3.97,3.824,10,0
30,999,2,57,46,1.86,1831,63,96.8499999999991,3.97,3.824,0,0
2,88,2,63,57,2.36,941,34,96.8499999999991,3.97,3.824,0,0
34,175,34,51,44,2.82,1862,135,96.8499999999991,3.97,3.824,4,1
27,999,38,15,11,1,3344,28,96.849999999999,3.97,3.824,18,4
15,999,15,153,116,3.88,747,52,96.849999999999,3.97,3.824,0,0
17,999,28,79,68,3.21,1129,65,96.849999999999,3.97,3.824,0,0
14,125,14,19,14,0.83,592,22,96.849999999999,3.97,3.824,0,0
3,999,9,164,146,4.81,563,53,96.849999999999,3.97,3.824,0,0
3,999,3,26,26,0.66,2233,40,96.849999999999,3.97,3.824,0,0
23,999,23,11,13,0.5,760,14,96.849999999999,3.97,3.824,0,0
43,13,43,28,27,0.5,2184,24,96.8499999999989,3.97,3.824,2,3
12,999,12,96,85,2.02,1295,14,96.8499999999989,3.97,3.824,3,0
53,71,53,90,88,2.87,888,64,96.8499999999989,3.97,3.824,3,3
22,999,14,18,15,1.01,694,10,96.8499999999989,3.97,3.824,1,1
8,350,8,79,70,3.21,4354,7,96.8499999999989,3.97,3.824,0,0
8,350,8,41,40,1.52,5312,42,96.8499999999989,3.97,3.824,0,0
43,999,43,200,187,5.74,1344,113,96.8499999999989,3.97,3.824,3,4
9,64,9,42,40,2.16,1181,38,96.8499999999989,3.97,3.824,0,0
50,999,50,51,45,3.21,932,47,96.8499999999988,3.97,3.824,0,0
46,250,44,124,121,5.4,659,53,96.8499999999988,3.97,3.824,0,0
10,999,10,35,32,2.49,1251,19,96.8499999999988,3.97,3.824,0,0
14,999,14,29,25,0.33,2308,56,96.8499999999988,3.97,3.824,3,3
28,175,28,65,56,3.04,968,1,96.8499999999988,3.97,3.824,0,0
7,125,7,16,12,0.83,556,21,96.8499999999988,3.97,3.824,0,0
11,59,11,49,47,1.88,1051,132,96.8499999999988,3.97,3.824,18,11
